2019-11-09 10:01:25 164| INFO|ContextLoader.java.initWebApplicationContext:304|Root WebApplicationContext: initialization started
2019-11-09 10:01:31 716| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sysUserDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 725| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sysUserDao' of type [com.sun.proxy.$Proxy69] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 759| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sysMenuDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 766| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sysMenuDao' of type [com.sun.proxy.$Proxy71] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 780| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'userRealm' of type [com.platform.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 832| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 832| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:33 144| INFO|StdSchedulerFactory.java.instantiate:1172|Using default implementation for ThreadExecutor
2019-11-09 10:01:33 161| INFO|SchedulerSignalerImpl.java.<init>:61|Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-11-09 10:01:33 161| INFO|QuartzScheduler.java.<init>:240|Quartz Scheduler v.2.2.3 created.
2019-11-09 10:01:33 171| INFO|JobStoreSupport.java.initialize:667|Using db table-based data access locking (synchronization).
2019-11-09 10:01:33 173| INFO|JobStoreCMT.java.initialize:145|JobStoreCMT initialized.
2019-11-09 10:01:33 174| INFO|QuartzScheduler.java.initialize:305|Scheduler meta-data: Quartz Scheduler (v2.2.3) 'PlatformScheduler' with instanceId 'PC-20191029XZOT1573264893151'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2019-11-09 10:01:33 174| INFO|StdSchedulerFactory.java.instantiate:1327|Quartz scheduler 'PlatformScheduler' initialized from an externally provided properties instance.
2019-11-09 10:01:33 174| INFO|StdSchedulerFactory.java.instantiate:1331|Quartz scheduler version: 2.2.3
2019-11-09 10:01:33 176| INFO|QuartzScheduler.java.setJobFactory:2311|JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@aa44ddd
2019-11-09 10:01:36 574| INFO|SpringTemplateLoader.java.<init>:61|SpringTemplateLoader for FreeMarker: using resource loader [Root WebApplicationContext: startup date [Sat Nov 09 10:01:25 CST 2019]; root of context hierarchy] and template loader path [classpath:freemarker/]
2019-11-09 10:01:36 575| INFO|FreeMarkerConfigurer.java.postProcessTemplateLoaders:127|ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-11-09 10:01:39 619| INFO|AbstractUrlHandlerMapping.java.registerHandler:362|Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2019-11-09 10:01:39 845| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/captcha.jpg]}" onto public void com.platform.controller.SysLoginController.captcha(javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
2019-11-09 10:01:39 846| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/login],methods=[POST]}" onto public com.platform.utils.R com.platform.controller.SysLoginController.login(java.lang.String,java.lang.String,java.lang.String) throws java.io.IOException
2019-11-09 10:01:39 847| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/logout],methods=[GET]}" onto public java.lang.String com.platform.controller.SysLoginController.logout()
2019-11-09 10:01:39 850| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/update]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.update(com.platform.entity.SysMenuEntity)
2019-11-09 10:01:39 850| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/delete]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.delete(java.lang.Long[])
2019-11-09 10:01:39 851| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/list]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 851| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/save]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.save(com.platform.entity.SysMenuEntity)
2019-11-09 10:01:39 851| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/perms]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.perms()
2019-11-09 10:01:39 851| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/select]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.select()
2019-11-09 10:01:39 852| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/info/{menuId}]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.info(java.lang.Long)
2019-11-09 10:01:39 852| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/user]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.user()
2019-11-09 10:01:39 852| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/menu/queryAll]}" onto public com.platform.utils.R com.platform.controller.SysMenuController.queryAll(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 854| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/update]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.update(com.platform.entity.SysRoleEntity)
2019-11-09 10:01:39 855| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/delete]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.delete(java.lang.Long[])
2019-11-09 10:01:39 856| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/list]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 856| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/save]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.save(com.platform.entity.SysRoleEntity)
2019-11-09 10:01:39 856| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/select]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.select()
2019-11-09 10:01:39 856| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/role/info/{roleId}]}" onto public com.platform.utils.R com.platform.controller.SysRoleController.info(java.lang.Long)
2019-11-09 10:01:39 858| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/update]}" onto public com.platform.utils.R com.platform.controller.SysUserController.update(com.platform.entity.SysUserEntity)
2019-11-09 10:01:39 858| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/delete]}" onto public com.platform.utils.R com.platform.controller.SysUserController.delete(java.lang.Long[])
2019-11-09 10:01:39 858| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/list]}" onto public com.platform.utils.R com.platform.controller.SysUserController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 858| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/save]}" onto public com.platform.utils.R com.platform.controller.SysUserController.save(com.platform.entity.SysUserEntity)
2019-11-09 10:01:39 859| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/password]}" onto public com.platform.utils.R com.platform.controller.SysUserController.password(java.lang.String,java.lang.String)
2019-11-09 10:01:39 859| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/info]}" onto public com.platform.utils.R com.platform.controller.SysUserController.info()
2019-11-09 10:01:39 859| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/user/info/{userId}]}" onto public com.platform.utils.R com.platform.controller.SysUserController.info(java.lang.Long)
2019-11-09 10:01:39 860| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/generator/list]}" onto public com.platform.utils.R com.platform.controller.SysGeneratorController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 861| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/generator/code]}" onto public void com.platform.controller.SysGeneratorController.code(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2019-11-09 10:01:39 865| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/run]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.run(java.lang.Long[])
2019-11-09 10:01:39 865| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/update]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.update(com.platform.entity.ScheduleJobEntity)
2019-11-09 10:01:39 865| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/delete]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.delete(java.lang.Long[])
2019-11-09 10:01:39 866| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/resume]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.resume(java.lang.Long[])
2019-11-09 10:01:39 866| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/list]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 866| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/save]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.save(com.platform.entity.ScheduleJobEntity)
2019-11-09 10:01:39 866| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/info/{jobId}]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.info(java.lang.Long)
2019-11-09 10:01:39 867| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/schedule/pause]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobController.pause(java.lang.Long[])
2019-11-09 10:01:39 868| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/scheduleLog/list]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobLogController.list(java.util.Map<java.lang.String, java.lang.Object>)
2019-11-09 10:01:39 868| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/sys/scheduleLog/info/{logId}]}" onto public com.platform.utils.R com.platform.controller.ScheduleJobLogController.info(java.lang.Long)
2019-11-09 10:01:39 872| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/address/delete],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiAddressController.delete(com.platform.entity.UserVo)
2019-11-09 10:01:39 873| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/address/list],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiAddressController.list(com.platform.entity.UserVo)
2019-11-09 10:01:39 874| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/address/save],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiAddressController.save(com.platform.entity.UserVo)
2019-11-09 10:01:39 874| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/address/detail],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiAddressController.detail(java.lang.Integer,com.platform.entity.UserVo)
2019-11-09 10:01:39 874| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/address/addressUserlist],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiAddressController.addressUserlist(com.platform.entity.UserVo)
2019-11-09 10:01:39 875| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/auth/login],methods=[POST]}" onto public com.platform.utils.R com.platform.api.ApiAuthController.login(java.lang.String,java.lang.String)
2019-11-09 10:01:39 875| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/auth/login_by_weixin],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiAuthController.loginByWeixin(com.platform.entity.LoginInfo,javax.servlet.http.HttpServletRequest)
2019-11-09 10:01:39 876| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/auth/createCode],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiAuthController.createCode(java.lang.String)
2019-11-09 10:01:39 877| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/brand/list],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiBrandController.list(java.lang.Integer,java.lang.Integer)
2019-11-09 10:01:39 877| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/brand/detail],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiBrandController.detail(java.lang.Integer)
2019-11-09 10:01:39 878| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/brand/allList],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiBrandController.allList(com.platform.entity.MlsUserEntity2)
2019-11-09 10:01:39 878| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/brand/listAndGoods],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiBrandController.listAndGoods(com.platform.entity.MlsUserEntity2,java.lang.Integer,java.lang.Integer)
